MSOA21CD,RUC21CD,RUC21NM,Rural Urban flag,RUC21 settlement class,Proportion of population in settlement class (%),RUC21 relative access,Proportion of population in relative access category (%)
E02004001,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02004002,UF1,Urban: Further from a major town or city,Urban,Urban,94.8,Further from a major town or city,100
E02004003,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,61.1,Further from a major town or city,100
E02004004,UF1,Urban: Further from a major town or city,Urban,Urban,98.3,Further from a major town or city,100
E02004005,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,79.7,Further from a major town or city,100
E02004006,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,59,Further from a major town or city,100
E02004007,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,57.7,Further from a major town or city,100
E02004008,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,88.6,Further from a major town or city,83.5
E02004009,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,100,Nearer to a major town or city,100
E02004010,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004011,UN1,Urban: Nearer to a major town or city,Urban,Urban,82.5,Nearer to a major town or city,89.6
E02004012,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,100,Further from a major town or city,60.6
E02004013,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,66.3,Further from a major town or city,100
E02004014,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,80.2,Further from a major town or city,100
E02004015,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,54.8,Further from a major town or city,100
E02004016,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,87.3,Further from a major town or city,100
E02004017,UF1,Urban: Further from a major town or city,Urban,Urban,78.9,Further from a major town or city,100
E02004018,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02004019,UF1,Urban: Further from a major town or city,Urban,Urban,69.7,Further from a major town or city,100
E02004020,UF1,Urban: Further from a major town or city,Urban,Urban,100,Further from a major town or city,100
E02004021,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,100,Further from a major town or city,100
E02004022,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,100,Further from a major town or city,100
E02004023,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,50.4,Further from a major town or city,100
E02004024,RSF1,Smaller rural: Further from a major town or city,Rural,Smaller rural,75.7,Further from a major town or city,100
E02004025,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,70.2,Further from a major town or city,100
E02004026,UF1,Urban: Further from a major town or city,Urban,Urban,98.6,Further from a major town or city,100
E02004027,RLF1,Larger rural: Further from a major town or city,Rural,Larger rural,54.7,Further from a major town or city,100
E02004028,UF1,Urban: Further from a major town or city,Urban,Urban,46.9,Further from a major town or city,100
E02004029,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004030,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,75.6,Nearer to a major town or city,100
E02004031,UN1,Urban: Nearer to a major town or city,Urban,Urban,92.5,Nearer to a major town or city,100
E02004032,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004033,UN1,Urban: Nearer to a major town or city,Urban,Urban,83.5,Nearer to a major town or city,100
E02004034,UN1,Urban: Nearer to a major town or city,Urban,Urban,77.8,Nearer to a major town or city,100
E02004035,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,68.6,Nearer to a major town or city,91
E02004036,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004037,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004038,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004039,UN1,Urban: Nearer to a major town or city,Urban,Urban,83.6,Nearer to a major town or city,100
E02004040,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004041,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02004043,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,53.7,Nearer to a major town or city,100
E02004044,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,46,Nearer to a major town or city,100
