MSOA21CD,RUC21CD,RUC21NM,Rural Urban flag,RUC21 settlement class,Proportion of population in settlement class (%),RUC21 relative access,Proportion of population in relative access category (%)
E02003788,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,53.7,Nearer to a major town or city,100
E02003789,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,100,Nearer to a major town or city,100
E02003790,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,61.6,Nearer to a major town or city,83.7
E02003791,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,71.4,Nearer to a major town or city,100
E02003792,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,50.5,Nearer to a major town or city,93.4
E02003793,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,79.4,Nearer to a major town or city,100
E02003794,UN1,Urban: Nearer to a major town or city,Urban,Urban,49.7,Nearer to a major town or city,100
E02003795,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,41.8,Nearer to a major town or city,100
E02003796,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003797,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003798,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003799,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003800,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,74,Nearer to a major town or city,100
E02003801,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003802,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003803,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003804,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003805,UN1,Urban: Nearer to a major town or city,Urban,Urban,83.6,Nearer to a major town or city,100
E02003806,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003807,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003808,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003809,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,72,Nearer to a major town or city,100
E02003810,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,58.6,Nearer to a major town or city,96.1
E02003811,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,67.3,Nearer to a major town or city,92.4
E02003812,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,100,Nearer to a major town or city,100
E02003813,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003814,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003815,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003816,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003817,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003818,UN1,Urban: Nearer to a major town or city,Urban,Urban,92.2,Nearer to a major town or city,92.2
E02003819,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003820,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003821,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003822,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,42.9,Nearer to a major town or city,100
E02003823,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003824,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003825,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003826,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003827,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003828,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003829,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003830,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003831,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,49.7,Nearer to a major town or city,100
E02003832,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003833,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003834,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003835,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003836,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003838,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
