lsoacode,dwe_p45pc,dwe_p16pc,dwe_modbp,dwe_mo20bp,dwe_medbp,dwe_mdargb
E01020634,0.5105,0.0294,A,A,F,"rgb(117,112,125)"
E01020635,0.5348,0.0216,A,A,F,"rgb(118,133,118)"
E01020636,0.8,0,F,F,F,"rgb(90,223,55)"
E01020654,0.6793,0.0828,A,X,G,"rgb(140,117,82)"
E01020676,0.4951,0.0042,A,A,D,"rgb(83,134,136)"
E01020613,0.9627,0.0018,F,F,G,"rgb(128,221,19)"
E01020614,0.8743,0.0138,F,F,F,"rgb(76,218,69)"
E01020622,0.6308,0.0057,H,H,H,"rgb(156,170,94)"
E01020623,0.971,0.0725,H,H,I,"rgb(247,202,7)"
E01020627,0.4944,0.0014,A,A,D,"rgb(75,142,147)"
E01020628,0.5526,0.0036,D,D,F,"rgb(88,146,123)"
E01020629,0.533,0.1294,D,D,E,"rgb(79,147,156)"
E01020655,0.6649,0.0011,K,K,G,"rgb(126,129,108)"
E01020656,0.5251,0.0042,E,E,E,"rgb(33,178,190)"
E01020657,0.6379,0.0031,A,A,G,"rgb(140,136,92)"
E01020661,0.5345,0.0238,A,A,H,"rgb(127,89,120)"
E01020662,0.5319,0,B,X,E,"rgb(90,145,152)"
E01020663,0.6858,0.0011,G,G,G,"rgb(138,149,80)"
E01020674,0.9961,0.0013,H,H,H,"rgb(187,242,16)"
E01020678,0.8303,0,H,H,G,"rgb(141,223,43)"
E01020606,0.3005,0.024,A,A,A,"rgb(65,65,178)"
E01020615,0.7648,0.0012,G,G,G,"rgb(172,183,59)"
E01020616,0.7584,0.0481,E,E,E,"rgb(95,154,135)"
E01020617,0.6923,0.1197,L,L,H,"rgb(153,120,83)"
E01020626,0.7746,0.0012,G,G,G,"rgb(129,193,57)"
E01020638,0.5297,0,A,A,F,"rgb(92,136,120)"
E01020639,0.5503,0.0024,D,X,E,"rgb(91,135,128)"
E01020653,0.4686,0.0028,A,A,D,"rgb(73,132,151)"
E01020677,0.5118,0.0044,D,D,F,"rgb(76,175,124)"
E01020596,0.578,0.0256,E,E,E,"rgb(42,200,178)"
E01020597,0.7835,0,G,G,F,"rgb(93,234,69)"
E01020598,0.6326,0,D,D,F,"rgb(110,151,115)"
E01020611,0.9615,0.2634,L,L,H,"rgb(177,156,12)"
E01020612,0.648,0.0028,D,D,F,"rgb(80,213,108)"
E01020647,0.906,0,J,J,H,"rgb(165,206,46)"
E01020648,0.8163,0.202,L,L,G,"rgb(139,132,92)"
E01020649,0.2589,0.0013,A,A,C,"rgb(56,86,196)"
E01020673,0.1738,0,D,D,D,"rgb(13,146,234)"
E01020675,0.7161,0.0226,H,H,H,"rgb(170,181,72)"
E01020624,0.2975,0.0905,A,A,B,"rgb(61,54,189)"
E01020625,0.381,0.0039,A,A,B,"rgb(79,71,158)"
E01020670,0.6785,0.0123,G,G,G,"rgb(113,167,82)"
E01020671,0.0299,0,B,B,B,"rgb(4,64,250)"
E01020672,0.2491,0,B,B,B,"rgb(60,55,191)"
E01020632,0.3311,0.0011,A,A,A,"rgb(84,60,170)"
E01020640,0.4278,0.0094,A,A,B,"rgb(108,41,145)"
E01020641,0.4286,0.0207,K,K,D,"rgb(105,90,145)"
E01020642,0.222,0,A,A,C,"rgb(37,112,207)"
E01020643,0.4146,0.0018,A,A,C,"rgb(105,62,149)"
E01020667,0.2262,0.0672,C,C,C,"rgb(54,102,199)"
E01020592,0.3026,0,C,C,C,"rgb(23,159,206)"
E01020593,0.1688,0.0141,A,A,B,"rgb(43,64,211)"
E01020599,1,0.0225,E,E,E,"rgb(43,230,146)"
E01020601,0.9819,0,J,J,H,"rgb(238,194,4)"
E01020602,0.7379,0.0335,G,G,G,"rgb(167,210,67)"
E01020618,0.7467,0.0011,L,L,H,"rgb(138,127,96)"
E01020650,0.7338,0.02,C,C,G,"rgb(164,142,67)"
E01020651,0.7844,0.0012,F,F,F,"rgb(79,202,75)"
E01020652,0.7333,0.0012,F,F,F,"rgb(81,166,85)"
E01020668,0.4398,0,A,A,D,"rgb(40,134,191)"
E01020669,0.5405,0.0031,D,D,E,"rgb(109,156,131)"
E01020594,0.1684,0.0119,A,A,A,"rgb(30,54,214)"
E01020595,0.4704,0.0013,D,D,D,"rgb(69,158,151)"
E01020600,0.9684,0,G,G,G,"rgb(116,234,8)"
E01020603,1,0,J,J,I,"rgb(254,168,0)"
E01020605,1,0,H,H,H,"rgb(253,203,0)"
E01020630,0.5101,0.0017,D,D,E,"rgb(14,209,147)"
E01020631,0.7041,0.014,H,H,H,"rgb(165,193,75)"
E01020637,0.5799,0.0038,A,A,E,"rgb(78,133,124)"
E01020644,0.7411,0.2187,L,L,K,"rgb(178,73,73)"
E01020645,0.9409,0,E,E,E,"rgb(23,233,128)"
E01020590,0.4941,0.0017,B,B,B,"rgb(110,128,129)"
E01020591,0.5447,0.0161,G,G,G,"rgb(103,182,121)"
E01020608,0.6849,0.0712,K,K,G,"rgb(131,134,102)"
E01020609,0.9984,0,F,F,F,"rgb(51,250,59)"
E01020610,0.954,0.0015,H,H,H,"rgb(197,197,44)"
E01020750,0.8321,0,I,I,I,"rgb(188,201,43)"
E01020781,0.9372,0,G,G,G,"rgb(122,238,16)"
E01020786,0.7771,0,H,H,H,"rgb(144,206,82)"
E01020787,0.9988,0,E,E,E,"rgb(12,246,124)"
E01033163,0.9612,0.0024,K,K,K,"rgb(218,84,10)"
E01033202,0.4728,0.0181,F,F,D,"rgb(58,162,134)"
E01020740,0.1331,0.018,C,C,C,"rgb(32,120,221)"
E01020741,0.0908,0,B,B,B,"rgb(19,62,231)"
E01020742,0.2204,0,B,B,B,"rgb(49,86,203)"
E01020782,0.8821,0.0166,F,F,F,"rgb(117,186,33)"
E01020783,0.3333,0,C,C,C,"rgb(42,140,170)"
E01020784,0.5255,0.0142,A,X,F,"rgb(111,133,120)"
E01020743,0.75,0.1948,F,F,F,"rgb(113,146,64)"
E01020747,0.0783,0,D,D,D,"rgb(19,180,235)"
E01020748,0.8083,0,E,E,E,"rgb(49,219,113)"
E01020749,0.0141,0,C,C,C,"rgb(3,151,251)"
E01020773,0.7305,0.0596,F,F,F,"rgb(81,205,79)"
E01020775,0.3942,0.0012,D,D,D,"rgb(23,207,189)"
E01020604,0.4512,0.003,A,A,D,"rgb(103,130,142)"
E01020607,0.7758,0.0939,G,X,G,"rgb(133,156,77)"
E01020619,0.5992,0.0271,B,B,G,"rgb(136,137,102)"
E01020620,0.6542,0.0028,G,G,G,"rgb(140,141,88)"
E01020621,0.7376,0.0212,F,X,F,"rgb(101,170,94)"
E01020633,0.5327,0.0053,D,D,E,"rgb(96,139,142)"
E01020664,0.4396,0.0673,A,A,D,"rgb(96,85,145)"
E01020665,0.8372,0.0015,F,F,F,"rgb(101,203,78)"
E01020666,0.8647,0,G,G,G,"rgb(105,231,37)"
E01020776,0.6793,0.0048,F,F,F,"rgb(91,195,81)"
E01033161,0.5175,0.0015,K,K,F,"rgb(120,94,123)"
E01033198,0.2645,0.0014,D,D,D,"rgb(63,104,187)"
E01033205,0.4277,0.0015,C,C,D,"rgb(107,147,148)"
E01033206,0.8047,0,E,X,G,"rgb(118,197,86)"
E01020709,0.8597,0.0041,L,L,I,"rgb(212,111,36)"
E01020717,1,0,G,G,G,"rgb(196,254,0)"
E01020718,1,0,G,G,G,"rgb(136,251,0)"
E01020719,0.9982,0,G,G,G,"rgb(218,249,0)"
E01020721,1,0,H,H,H,"rgb(255,252,0)"
E01020708,0.4969,0.0802,D,D,D,"rgb(109,130,128)"
E01020710,0.7162,0.0123,J,J,I,"rgb(162,134,84)"
E01020711,0.8946,0,E,E,E,"rgb(36,224,134)"
E01020720,0.9986,0,F,F,F,"rgb(106,234,0)"
E01020646,0.6062,0.0433,A,A,E,"rgb(75,143,136)"
E01020658,0.6187,0.0308,B,B,E,"rgb(77,126,124)"
E01020659,0.5314,0.0015,A,A,I,"rgb(134,94,119)"
E01020660,0.2925,0.0027,D,D,D,"rgb(70,135,183)"
E01020751,0.1376,0,C,C,C,"rgb(29,131,220)"
E01020752,0.1193,0.0014,B,B,B,"rgb(30,62,224)"
E01020754,0.4268,0.008,D,D,D,"rgb(71,163,158)"
E01020756,0.6512,0.1809,L,L,H,"rgb(159,122,91)"
E01020679,0.5987,0.0013,E,E,E,"rgb(48,184,161)"
E01020680,0.6156,0.004,A,A,G,"rgb(139,111,98)"
E01020681,0.8022,0,F,F,F,"rgb(110,212,71)"
E01020714,0.8003,0.0028,G,G,G,"rgb(156,171,64)"
E01020716,0.8979,0,E,E,E,"rgb(71,213,118)"
E01020725,0.5328,0.016,I,I,F,"rgb(119,151,119)"
E01020726,0.7622,0.0018,A,X,F,"rgb(122,163,81)"
E01020727,0.8773,0.0034,F,F,F,"rgb(85,182,66)"
E01020729,0.3233,0.0822,D,D,D,"rgb(74,126,172)"
E01020730,0.6958,0.0012,E,E,E,"rgb(60,192,147)"
E01020731,0.7676,0.0473,J,J,H,"rgb(150,171,92)"
E01020682,0.9976,0,G,G,G,"rgb(196,254,0)"
E01020683,0.8858,0.0413,H,H,H,"rgb(180,201,29)"
E01020690,0.9363,0.0197,F,F,F,"rgb(67,217,16)"
E01020691,0.8035,0.0016,F,F,F,"rgb(37,195,93)"
E01020692,0.9973,0.0546,G,G,G,"rgb(143,238,0)"
E01020693,0.7046,0.2549,L,L,G,"rgb(133,102,96)"
E01020722,0.8427,0,E,E,E,"rgb(14,232,171)"
E01020723,0.6057,0.1314,A,A,G,"rgb(145,100,102)"
E01020724,0.2102,0.029,D,D,D,"rgb(49,170,201)"
E01020703,0.5224,0.1464,A,A,G,"rgb(132,55,121)"
E01033164,0.7196,0.4346,L,L,K,"rgb(179,46,71)"
E01033195,0.8301,0.434,L,L,J,"rgb(185,94,43)"
E01033197,0.5556,0.0919,L,L,G,"rgb(140,87,113)"
E01033221,0.6345,0.1449,K,K,H,"rgb(139,101,110)"
E01020705,0.7041,0.0615,E,E,E,"rgb(58,172,139)"
E01020706,0.4183,0.0032,A,A,B,"rgb(105,80,148)"
E01020715,0.444,0.1361,B,B,C,"rgb(97,64,152)"
E01020745,1,0.0151,F,F,F,"rgb(19,242,20)"
E01020753,0.5996,0.0011,D,D,E,"rgb(94,181,124)"
E01020757,0.9981,0.0019,E,E,E,"rgb(0,254,180)"
E01020758,1,0,E,E,E,"rgb(10,249,138)"
E01020759,0.9957,0.1307,E,E,E,"rgb(75,187,133)"
E01020765,0.4366,0.0013,D,D,D,"rgb(30,204,181)"
E01020684,0.6141,0.1936,L,L,J,"rgb(157,58,98)"
E01020702,0.5801,0.1882,K,K,H,"rgb(137,88,114)"
E01020704,0.3286,0.0071,A,A,B,"rgb(78,104,174)"
E01020712,0.6335,0.2751,L,L,F,"rgb(102,108,107)"
E01020713,0.8392,0.2688,L,L,K,"rgb(175,107,49)"
E01020760,0.6674,0.0898,D,D,H,"rgb(133,138,103)"
E01020761,0.6323,0.0963,H,H,H,"rgb(160,105,94)"
E01020762,0.1612,0.0014,D,D,D,"rgb(12,189,230)"
E01020763,0.4713,0.0056,D,D,D,"rgb(104,151,136)"
E01020733,1,0,F,F,F,"rgb(48,236,0)"
E01020734,1,0.0182,F,F,F,"rgb(76,245,0)"
E01020735,1,0.0713,F,F,F,"rgb(70,211,0)"
E01020770,1,0,H,H,H,"rgb(252,255,0)"
E01020771,1,0.0021,G,G,G,"rgb(171,250,0)"
E01020780,0.9983,0.0524,F,F,F,"rgb(106,211,0)"
E01020764,0.1082,0.0026,A,A,B,"rgb(27,49,227)"
E01020766,0.3351,0,D,D,D,"rgb(54,170,172)"
E01020767,0.2923,0.0113,B,B,C,"rgb(76,109,180)"
E01020768,0.2489,0.0014,D,D,D,"rgb(59,179,194)"
E01020746,1,0,G,G,G,"rgb(200,223,0)"
E01020769,0.9753,0,G,G,G,"rgb(200,248,6)"
E01020777,1,0.0159,G,G,G,"rgb(155,242,0)"
E01020778,0.9982,0.038,I,I,I,"rgb(244,203,0)"
E01020779,0.9985,0,I,I,I,"rgb(255,176,0)"
E01020685,0.6053,0,I,I,G,"rgb(122,170,108)"
E01020686,0.936,0,E,E,E,"rgb(46,231,106)"
E01020687,1,0,H,H,H,"rgb(232,233,5)"
E01020688,0.9251,0,H,H,H,"rgb(170,223,32)"
E01020689,0.8701,0.0028,G,G,G,"rgb(122,192,62)"
E01020736,0.4006,0.0372,D,D,D,"rgb(64,162,177)"
E01020737,0.2997,0,D,D,D,"rgb(57,150,190)"
E01020738,0.2624,0,D,D,D,"rgb(31,180,188)"
E01020739,0.1917,0,B,B,B,"rgb(48,105,206)"
E01020744,0.9982,0.1121,F,F,F,"rgb(91,226,38)"
E01020788,0.4828,0.0029,C,C,D,"rgb(86,152,134)"
E01020789,0.5355,0.0529,K,K,F,"rgb(113,103,123)"
E01020790,0.3682,0.1688,D,D,D,"rgb(55,156,182)"
E01020791,0.6144,0,D,D,E,"rgb(79,196,147)"
E01020792,0.3745,0.0156,D,D,D,"rgb(74,114,170)"
E01020694,0.9974,0.0128,E,E,F,"rgb(89,210,81)"
E01020696,0.4421,0.0015,A,A,D,"rgb(66,106,171)"
E01020697,0.393,0.0821,B,B,D,"rgb(93,118,154)"
E01020732,0.7834,0.0772,L,L,I,"rgb(184,123,57)"
E01020889,0.1904,0.0036,A,A,A,"rgb(33,34,218)"
E01020890,0.3191,0.0035,A,A,A,"rgb(49,76,193)"
E01020891,0.4167,0.0167,A,A,B,"rgb(59,96,178)"
E01020905,0.4954,0.0013,A,A,E,"rgb(75,122,164)"
E01020906,0.4363,0.0175,A,A,B,"rgb(81,89,143)"
E01020772,0.5656,0.0044,A,A,F,"rgb(102,136,115)"
E01020793,0.3438,0.0025,D,D,D,"rgb(39,186,186)"
E01020794,0.746,0.1409,L,X,I,"rgb(130,133,84)"
E01020795,0.4701,0.0147,A,A,D,"rgb(116,99,139)"
E01020695,0.6995,0.1512,L,L,H,"rgb(143,130,82)"
E01020698,0.5898,0.0467,J,J,J,"rgb(149,103,107)"
E01020699,0.3909,0.0704,D,D,D,"rgb(77,142,168)"
E01020700,0.4236,0.0027,D,D,D,"rgb(21,186,180)"
E01020701,0.7194,0.0016,I,I,I,"rgb(170,144,71)"
E01020876,0.3252,0.0163,A,A,D,"rgb(82,86,172)"
E01020878,0.6935,0.0511,E,E,E,"rgb(60,188,159)"
E01020887,0.617,0.0141,A,A,G,"rgb(121,99,118)"
E01020892,0.2354,0.0177,A,A,A,"rgb(45,63,194)"
E01020894,0.5751,0.0037,A,A,E,"rgb(74,127,157)"
E01020898,1,0,F,F,F,"rgb(84,244,4)"
E01020877,0.3544,0.0012,A,A,A,"rgb(84,76,164)"
E01020879,0.8493,0.0009,K,K,I,"rgb(208,143,40)"
E01020893,0.3363,0.0143,A,A,A,"rgb(78,47,169)"
E01020899,0.3405,0.0831,B,B,B,"rgb(76,80,168)"
E01020903,0.3759,0.0018,A,A,A,"rgb(87,55,159)"
E01020904,0.4789,0.0036,K,K,D,"rgb(116,83,135)"
E01020817,0.9982,0,H,H,H,"rgb(244,234,0)"
E01020818,0.4835,0.0043,B,B,D,"rgb(110,124,137)"
E01020819,0.7832,0,E,E,E,"rgb(6,236,200)"
E01020837,0.9867,0,H,H,H,"rgb(239,251,3)"
E01020843,0.6154,0.0027,A,A,G,"rgb(121,128,115)"
E01020809,0.9848,0.003,E,E,E,"rgb(11,248,112)"
E01020810,0.4201,0.0017,B,B,D,"rgb(93,125,151)"
E01020811,0.5408,0,D,D,E,"rgb(36,190,157)"
E01020812,0.6014,0.0014,D,D,E,"rgb(87,182,134)"
E01020827,0.3826,0.0036,D,X,D,"rgb(64,143,166)"
E01020806,0.5231,0.0289,D,D,E,"rgb(87,165,154)"
E01020807,0.0067,0,A,A,A,"rgb(1,24,253)"
E01020820,0.9263,0.1246,J,J,J,"rgb(207,113,19)"
E01020842,0.7398,0.1714,L,L,F,"rgb(119,97,113)"
E01020797,0.5607,0.0089,E,E,E,"rgb(55,171,150)"
E01020798,0.9987,0,G,G,G,"rgb(147,248,5)"
E01020799,0.1969,0.0013,D,D,D,"rgb(7,160,227)"
E01020808,0.5547,0.0015,G,G,E,"rgb(101,158,136)"
E01020873,0.648,0,G,G,G,"rgb(127,181,92)"
E01020875,0.3558,0.0031,A,A,B,"rgb(83,70,167)"
E01020900,0.8789,0.0686,E,E,J,"rgb(148,133,85)"
E01020901,0.4145,0,E,E,D,"rgb(26,140,195)"
E01020902,0.8365,0,F,F,F,"rgb(94,225,52)"
E01020821,0.7302,0.0156,F,F,G,"rgb(127,108,69)"
E01020822,0.7361,0.176,L,L,H,"rgb(157,130,76)"
E01020823,0.8753,0.0662,F,F,F,"rgb(59,214,32)"
E01020835,0.3063,0.0013,B,B,B,"rgb(81,71,176)"
E01020836,0.6485,0.1378,L,L,H,"rgb(143,94,97)"
E01020803,0.5931,0.2075,L,L,H,"rgb(147,70,103)"
E01020805,0.7366,0,E,E,E,"rgb(50,211,119)"
E01033203,0.341,0.0007,B,B,B,"rgb(58,99,179)"
E01020796,0.5438,0,H,H,E,"rgb(86,172,132)"
E01020828,0.7169,0.0324,G,G,G,"rgb(145,181,77)"
E01020829,0.8419,0.0028,K,K,H,"rgb(182,172,45)"
E01020830,0.7144,0.1652,L,X,G,"rgb(117,149,93)"
E01020868,0.6002,0.1496,A,A,H,"rgb(141,80,103)"
E01020869,0.2414,0.0166,A,A,A,"rgb(61,38,193)"
E01020874,0.5073,0.0037,B,B,F,"rgb(116,99,125)"
E01020880,0.323,0,A,A,B,"rgb(82,48,172)"
E01020881,0.7009,0.1137,J,J,H,"rgb(162,111,76)"
E01020870,0.9801,0.0017,F,F,G,"rgb(119,231,20)"
E01020871,0.2052,0,B,B,B,"rgb(33,106,202)"
E01020872,0.3345,0,B,B,C,"rgb(78,110,171)"
E01020883,0.9848,0,H,H,I,"rgb(250,193,4)"
E01020886,0.2944,0,B,B,B,"rgb(50,112,183)"
E01020882,0.5195,0.003,A,A,G,"rgb(120,100,122)"
E01020888,0.4583,0.0011,A,A,B,"rgb(95,78,138)"
E01020895,0.6753,0.0399,H,H,H,"rgb(162,142,83)"
E01020896,0.6763,0.0015,G,G,G,"rgb(116,187,97)"
E01020897,0.8764,0.0468,K,K,K,"rgb(186,119,52)"
E01020884,0.5324,0,I,I,H,"rgb(134,158,119)"
E01020885,0.8859,0,H,H,H,"rgb(222,151,29)"
E01020907,0.8005,0,E,E,E,"rgb(43,193,140)"
E01020908,1,0,G,G,G,"rgb(171,232,15)"
E01020909,0.9476,0.0128,F,F,F,"rgb(60,216,37)"
E01020801,0.2144,0,B,B,B,"rgb(15,93,212)"
E01020802,0.4915,0,A,A,D,"rgb(102,87,131)"
E01020838,0.1667,0.0022,A,A,B,"rgb(35,66,214)"
E01020839,0.4459,0.0012,A,A,D,"rgb(65,135,162)"
E01020840,0.9013,0.1466,H,H,H,"rgb(175,172,45)"
E01020841,0.9886,0,F,F,F,"rgb(33,255,66)"
E01020813,1,0,H,H,H,"rgb(247,212,0)"
E01020814,0.9984,0,J,J,J,"rgb(251,171,0)"
E01020815,0.8675,0.0861,G,G,H,"rgb(209,187,33)"
E01020848,1,0.0414,I,I,I,"rgb(254,193,0)"
E01020850,0.9991,0.1994,L,L,K,"rgb(254,91,0)"
E01020851,0.997,0,I,I,I,"rgb(254,179,1)"
E01020816,1,0,G,G,G,"rgb(194,245,0)"
E01020844,1,0,G,G,G,"rgb(205,222,0)"
E01020847,1,0,H,H,H,"rgb(255,236,0)"
E01020849,1,0,H,H,H,"rgb(254,239,0)"
E01020825,1,0.1092,E,E,E,"rgb(49,222,142)"
E01020831,0.9971,0.0029,F,F,F,"rgb(1,253,3)"
E01020833,0.9771,0.0019,F,F,F,"rgb(48,243,6)"
E01020834,1,0,F,F,F,"rgb(23,238,23)"
E01020824,0.9987,0.0013,E,E,E,"rgb(20,246,174)"
E01020826,0.8153,0.0582,E,E,F,"rgb(98,175,104)"
E01020832,1,0,F,F,F,"rgb(50,238,0)"
E01020845,1,0,F,F,F,"rgb(38,244,29)"
E01020846,0.9595,0.0018,G,G,G,"rgb(213,237,10)"
E01020856,0.4025,0.0025,A,A,B,"rgb(54,101,176)"
E01020858,0.7239,0.0059,A,A,F,"rgb(96,162,112)"
E01020859,0.4895,0.0088,A,A,E,"rgb(117,101,133)"
E01020860,0.5641,0.002,E,E,E,"rgb(33,136,194)"
E01020861,0.1834,0.0017,A,A,B,"rgb(45,68,208)"
E01020862,0.5255,0.0026,A,A,E,"rgb(89,122,146)"
E01020864,0.3124,0.0138,A,A,B,"rgb(70,85,181)"
E01020867,0.493,0.0291,A,A,E,"rgb(75,107,163)"
E01020857,0.3371,0.0071,A,A,B,"rgb(59,81,187)"
E01020863,0.2652,0.0218,A,A,A,"rgb(54,55,196)"
E01020865,0.17,0.0029,A,A,A,"rgb(37,46,217)"
E01020866,0.2308,0.0055,A,A,A,"rgb(30,72,217)"
E01020852,0.6566,0.084,A,A,G,"rgb(131,124,111)"
E01020853,0.7561,0.0862,E,X,F,"rgb(115,160,92)"
E01020854,0.5578,0.119,A,A,F,"rgb(103,97,124)"
E01020855,0.7757,0.0017,E,E,E,"rgb(95,182,113)"
E01012334,0.6883,0.1048,K,K,H,"rgb(148,93,89)"
E01012335,0.7398,0.1253,G,G,G,"rgb(114,165,84)"
E01012366,0.5692,0.0328,A,A,F,"rgb(101,131,123)"
E01033481,0.9973,0.1211,K,K,K,"rgb(254,66,0)"
E01033482,0.903,0.0838,J,J,J,"rgb(221,95,24)"
E01012323,0.5375,0,I,I,G,"rgb(122,167,118)"
E01012324,0.0639,0,D,D,D,"rgb(19,154,238)"
E01032545,0.5328,0.0451,B,B,E,"rgb(102,115,144)"
E01032546,0.7366,0.0028,K,K,G,"rgb(139,165,72)"
E01012328,0.9974,0,H,H,H,"rgb(251,249,0)"
E01012329,0.787,0,H,H,H,"rgb(180,214,59)"
E01012330,1,0,J,J,I,"rgb(237,173,0)"
E01012331,0.749,0,H,H,H,"rgb(155,204,63)"
E01012349,0.2857,0.0011,A,A,A,"rgb(75,69,182)"
E01012350,0.238,0,B,B,C,"rgb(57,106,194)"
E01012351,0.8074,0,I,I,I,"rgb(205,176,49)"
E01012352,0.4301,0,H,H,D,"rgb(106,151,145)"
E01012325,0.741,0.0029,H,H,H,"rgb(137,196,104)"
E01012326,0.6747,0,E,E,E,"rgb(43,198,176)"
E01012332,0.9652,0,E,E,E,"rgb(41,243,121)"
E01012333,0.946,0.081,H,H,H,"rgb(220,204,29)"
E01012309,0.9093,0.0476,J,J,J,"rgb(231,131,23)"
E01012310,0.2712,0.0499,D,D,D,"rgb(64,146,187)"
E01012311,0.1872,0,C,C,C,"rgb(43,147,210)"
E01012312,0.9853,0,E,E,G,"rgb(128,213,79)"
E01012313,0.8226,0.0014,F,F,F,"rgb(62,189,55)"
E01012314,1,0.0614,G,G,G,"rgb(190,238,0)"
E01012362,0.0318,0,B,B,B,"rgb(8,36,246)"
E01012363,0.0043,0,B,B,B,"rgb(0,74,253)"
E01012364,0.0451,0,B,B,B,"rgb(10,84,243)"
E01012365,0.1113,0.0365,C,C,C,"rgb(27,118,226)"
E01012353,0.016,0,B,B,B,"rgb(3,49,251)"
E01012354,0.1753,0.0013,B,B,B,"rgb(37,60,210)"
E01012355,0.3515,0.0013,A,A,B,"rgb(89,68,165)"
E01033483,0.4359,0.0798,A,A,B,"rgb(111,73,143)"
E01033484,0.4063,0.0145,A,A,A,"rgb(106,61,151)"
E01012307,0.5644,0.1724,B,B,G,"rgb(123,104,112)"
E01012327,0.9986,0.1569,G,G,G,"rgb(217,210,0)"
E01012342,0.6884,0.1843,L,L,I,"rgb(150,115,84)"
E01012343,0.6769,0.231,L,L,F,"rgb(112,150,91)"
E01012315,0.3601,0.0557,D,D,D,"rgb(46,179,184)"
E01012316,0.4784,0.0387,K,X,D,"rgb(115,90,137)"
E01012360,0.4016,0.0012,D,D,D,"rgb(68,152,161)"
E01012336,0.9361,0,G,G,H,"rgb(207,196,16)"
E01012337,0.7137,0.0402,D,D,F,"rgb(97,217,75)"
E01012347,0.7078,0.0264,D,D,F,"rgb(111,204,91)"
E01012348,0.9792,0.001,G,G,G,"rgb(158,229,7)"
E01012361,0.2624,0.0169,D,D,D,"rgb(29,191,199)"
E01012304,0.5941,0.0403,I,I,H,"rgb(148,111,103)"
E01012305,0.2364,0.0016,B,B,B,"rgb(60,57,194)"
E01012306,0.2589,0.0015,A,A,B,"rgb(40,108,200)"
E01012340,0.4825,0.0263,K,K,D,"rgb(115,122,131)"
E01012341,0.7922,0.0012,G,G,G,"rgb(136,220,76)"
E01012317,0.0506,0,D,D,D,"rgb(11,177,242)"
E01012318,0.9131,0.0174,F,F,G,"rgb(138,174,23)"
E01012319,0.6047,0,D,D,E,"rgb(46,191,157)"
E01012356,0.3208,0.0703,B,B,B,"rgb(75,79,173)"
E01012357,0.0505,0,B,B,B,"rgb(12,68,242)"
E01012358,0.5816,0.027,D,D,F,"rgb(71,179,114)"
E01012359,0.9007,0.0028,F,F,F,"rgb(12,237,74)"
E01012338,0.6976,0.0615,L,L,G,"rgb(138,123,90)"
E01012339,0.7734,0.1037,G,G,G,"rgb(140,170,62)"
E01012344,0.6222,0.093,A,X,G,"rgb(126,90,104)"
E01012345,0.7406,0.1037,E,E,F,"rgb(109,149,113)"
E01012346,0.9253,0.2386,K,K,K,"rgb(218,95,30)"
E01011954,1,0.0586,F,F,F,"rgb(81,210,18)"
E01011969,0.9819,0,F,F,G,"rgb(127,244,4)"
E01011970,0.9341,0.0259,H,H,H,"rgb(216,209,20)"
E01011971,1,0,J,J,J,"rgb(255,137,0)"
E01033465,1,0,K,K,K,"rgb(226,103,0)"
E01033467,1,0.1101,L,L,L,"rgb(242,62,0)"
E01011952,0.9846,0,E,E,E,"rgb(100,221,117)"
E01011953,0.9874,0.0126,E,E,E,"rgb(29,237,148)"
E01011991,0.4917,0.013,A,A,D,"rgb(59,127,165)"
E01011992,0.7916,0.1631,J,J,J,"rgb(144,132,96)"
E01011993,0.6926,0,F,F,F,"rgb(75,189,97)"
E01011994,0.8186,0,I,I,I,"rgb(198,178,54)"
E01011955,0.8074,0,H,H,H,"rgb(152,183,89)"
E01011957,0.2893,0.0512,D,D,D,"rgb(73,118,181)"
E01032540,0.8467,0,J,J,J,"rgb(214,152,39)"
E01032541,0.9894,0.0019,G,G,H,"rgb(220,235,2)"
E01033466,0.6429,0.0445,L,L,G,"rgb(128,146,104)"
E01011973,0.3252,0.0745,A,A,A,"rgb(81,41,172)"
E01011974,0.7192,0.0256,J,J,J,"rgb(183,76,71)"
E01011975,0.1341,0,A,A,B,"rgb(26,65,220)"
E01011976,0.3927,0.0587,A,A,A,"rgb(97,45,154)"
E01011965,0.3393,0.003,D,D,D,"rgb(19,177,191)"
E01011966,0.2086,0,B,B,C,"rgb(38,130,212)"
E01011983,0.8688,0.019,K,K,I,"rgb(201,148,36)"
E01012002,0.1799,0,D,D,C,"rgb(22,123,217)"
E01011951,0.0985,0.0356,A,A,A,"rgb(25,28,229)"
E01011964,0.1463,0,A,A,B,"rgb(31,78,218)"
E01011967,0.0607,0,B,B,B,"rgb(14,68,239)"
E01011999,0.3067,0.0107,A,A,A,"rgb(78,49,176)"
E01012000,0.9726,0,J,J,H,"rgb(183,178,18)"
E01011950,0.0887,0,B,B,B,"rgb(22,82,232)"
E01011986,0.1955,0.0017,D,D,D,"rgb(9,198,235)"
E01011987,0.1689,0.0015,D,D,D,"rgb(16,150,231)"
E01012001,0.609,0.001,I,I,H,"rgb(155,137,99)"
E01011949,0.6902,0.0051,E,E,E,"rgb(14,205,192)"
E01011980,1,0,G,G,G,"rgb(188,230,0)"
E01011981,0.9986,0,G,G,G,"rgb(143,239,30)"
