lsoacode,dwe_p45pc,dwe_p16pc,dwe_modbp,dwe_mo20bp,dwe_medbp,dwe_mdargb
E01033119,0.9993,0.0902,L,L,L,"rgb(255,21,0)"
E01018276,0.8423,0,K,K,I,"rgb(194,136,55)"
E01018277,0.6928,0.0747,A,X,H,"rgb(154,145,85)"
E01018278,0.9049,0.039,L,L,K,"rgb(225,81,26)"
E01033116,0.8177,0.2344,L,L,K,"rgb(189,72,49)"
E01033118,0.8053,0.0177,K,K,K,"rgb(186,101,63)"
E01021237,0.9415,0.0057,H,H,H,"rgb(222,207,22)"
E01021238,0.9765,0.0059,G,G,G,"rgb(166,244,13)"
E01021242,0.9579,0.006,G,G,G,"rgb(183,239,10)"
E01021250,0.9815,0.0031,G,G,G,"rgb(174,219,5)"
E01021251,0.9148,0.0033,J,J,H,"rgb(176,189,24)"
E01021245,0.9835,0.0015,I,I,I,"rgb(223,189,4)"
E01021246,0.9956,0.0015,F,F,F,"rgb(118,231,1)"
E01021248,1,0,H,H,H,"rgb(167,239,0)"
E01021249,0.9502,0.0047,J,J,G,"rgb(167,203,13)"
E01021252,1,0,I,I,I,"rgb(254,210,0)"
E01021239,0.8417,0.0226,F,F,G,"rgb(147,177,43)"
E01021240,0.9075,0.0148,F,F,G,"rgb(151,186,34)"
E01021241,0.9662,0.0191,F,F,F,"rgb(49,236,8)"
E01021243,0.8426,0.0057,G,G,G,"rgb(133,203,48)"
E01021247,0.9522,0.0188,F,F,G,"rgb(152,217,14)"
E01021244,0.8866,0.0308,F,F,G,"rgb(120,186,34)"
E01021253,0.7911,0.0056,G,G,G,"rgb(127,190,61)"
E01021255,0.9563,0.0819,F,F,H,"rgb(159,178,24)"
E01021256,0.9663,0.0192,F,F,F,"rgb(102,232,14)"
E01021258,0.9988,0,E,E,G,"rgb(126,237,68)"
E01021334,0.7084,0.0435,F,F,F,"rgb(82,185,97)"
E01021336,0.9202,0.0051,F,F,H,"rgb(152,186,22)"
E01021338,0.9631,0.0058,G,G,G,"rgb(194,172,13)"
E01021339,0.9539,0,E,E,F,"rgb(64,230,91)"
E01021264,0.6678,0.04,L,X,F,"rgb(124,144,94)"
E01021329,0.8765,0.0041,G,G,G,"rgb(129,212,52)"
E01021330,0.9149,0.0043,F,F,F,"rgb(96,221,27)"
E01021332,0.9823,0.0016,G,G,G,"rgb(117,243,50)"
E01021333,0.8453,0.0075,F,F,F,"rgb(85,233,76)"
E01021335,0.9219,0.0019,I,I,I,"rgb(208,190,20)"
E01021337,0.9953,0,H,H,G,"rgb(168,246,1)"
E01021340,0.9443,0,F,F,G,"rgb(163,194,16)"
E01021341,0.8536,0.0029,F,F,F,"rgb(95,214,62)"
E01021345,1,0,J,J,J,"rgb(255,112,0)"
E01021331,0.9178,0.0251,H,H,H,"rgb(194,178,21)"
E01021342,0.9587,0.0014,G,G,G,"rgb(204,208,10)"
E01021343,1,0,J,J,J,"rgb(255,128,0)"
E01021344,0.871,0.0043,J,J,J,"rgb(223,116,33)"
E01021346,0.999,0.0325,I,I,I,"rgb(255,155,0)"
E01021254,0.6927,0.0374,F,F,F,"rgb(110,160,84)"
E01021257,0.9029,0.0064,F,F,F,"rgb(84,224,36)"
E01021259,0.9369,0.003,F,F,F,"rgb(100,215,16)"
E01021260,0.8061,0.017,J,J,I,"rgb(173,149,54)"
E01021261,0.7934,0.0179,H,H,H,"rgb(189,180,57)"
E01021262,0.9582,0,H,H,I,"rgb(244,196,10)"
E01021263,0.9739,0.0142,J,J,J,"rgb(244,145,8)"
E01021274,0.9243,0.0025,F,F,H,"rgb(149,209,33)"
E01021279,0.9215,0,J,J,I,"rgb(142,179,57)"
E01021301,0.9984,0,H,H,H,"rgb(254,254,0)"
E01021303,0.9819,0,H,H,H,"rgb(242,209,4)"
E01021307,0.9949,0,I,I,I,"rgb(249,187,1)"
E01021308,1,0.002,I,I,I,"rgb(255,209,0)"
E01021309,0.9659,0.0155,I,I,I,"rgb(246,184,8)"
E01021312,0.4436,0.0355,D,D,D,"rgb(100,154,144)"
E01021265,1,0,F,F,F,"rgb(33,226,48)"
E01021267,1,0.0852,E,E,E,"rgb(68,222,124)"
E01021269,0.9988,0.0025,E,E,E,"rgb(73,203,115)"
E01021270,0.9989,0.0146,F,F,F,"rgb(100,178,50)"
E01021272,1,0.0015,E,E,F,"rgb(26,239,90)"
E01021271,0.9878,0.0741,G,G,G,"rgb(214,197,3)"
E01021302,0.9986,0.0145,H,H,H,"rgb(255,238,0)"
E01021304,0.9984,0.0016,H,H,H,"rgb(235,253,0)"
E01021305,1,0,H,H,H,"rgb(221,249,0)"
E01021306,1,0,H,H,H,"rgb(254,255,0)"
E01021273,0.9827,0.0148,F,F,F,"rgb(117,229,47)"
E01021275,0.9838,0.0404,H,H,H,"rgb(210,215,9)"
